,Star Rating,Review Text,Time Since Review,Date Of Review,Time Period,Service type,Meal type,Price per person,Food,Service,Atmosphere,Recommended dishes,Parking space,Parking options,Normalized Reviews,Names Mentioned,Food Mentions,Menu Mentions,Theme,Tags,Reversed Index
0,5,"I had an amazing experience eating the lobster night, thanks to Sallie for the attention!!",9 hours ago,2025-03-11,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,$90–100,5.0,5.0,5.0,[],,,i had an amazing experience eating the lobster night thanks to sallie for the attention,sallie,[],Lobster Night,Service,Lobster Night,366
0,5,"I had an amazing experience eating the lobster night, thanks to Sallie for the attention!!",9 hours ago,2025-03-11,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,$90–100,5.0,5.0,5.0,[],,,i had an amazing experience eating the lobster night thanks to sallie for the attention,sallie,[],Lobster Night,Positive,Lobster Night,366
1,5,Perfect service by Sallie!,9 hours ago,2025-03-11,09-Mar-2025 to 15-Mar-2025,,,,5.0,5.0,5.0,[],,,perfect service by sallie,sallie,[],,Service,,365
2,5,Sallie is amazing. She made sure to take care of us and provided us with AMAZING service!!,9 hours ago,2025-03-11,09-Mar-2025 to 15-Mar-2025,,,$60–70,5.0,5.0,5.0,[],,,sallie is amazing. she made sure to take care of us and provided us with amazing service,sallie,[],,Service,,364
2,5,Sallie is amazing. She made sure to take care of us and provided us with AMAZING service!!,9 hours ago,2025-03-11,09-Mar-2025 to 15-Mar-2025,,,$60–70,5.0,5.0,5.0,[],,,sallie is amazing. she made sure to take care of us and provided us with amazing service,sallie,[],,Positive,,364
3,4,"If you’re looking for a vibrant place to unwind yet receive excellent service, Coast is the place to be. The staff truly works hard to deliver top-notch hospitality, and it shows. They're easily one of the most harmonious and hardworking teams I've seen at a Glowbal chain.

That said, the food didn’t quite live up to the hype. Happy hour options? Coast absolutely nails them every time—tasty, well-priced, and definitely worth it. But the main courses seemed to fall short. The scallops with risotto were a bit too salty and, over time, felt like a bit of a chore to finish. The sablefish, while buttery and flavorful at first, became underwhelming. We were celebrating an anniversary (not a birthday), and it would've been a nice touch if they offered a dessert, like their neighbor Black & Blue does for special occasions. No fault of theirs, as they are generally quite busy, but it would’ve been a small gesture to help make the experience feel warmer and more memorable.

Still, Coast remains a top choice for happy hour in the city—bustling with fantastic service.",10 hours ago,2025-03-11,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,$40–50,4.0,5.0,5.0,[],,,"if youre looking for a vibrant place to unwind yet receive excellent service coast is the place to be. the staff truly works hard to deliver topnotch hospitality and it shows. theyre easily one of the most harmonious and hardworking teams ive seen at a glowbal chain.

that said the food didnt quite live up to the hype. happy hour options coast absolutely nails them every timetasty wellpriced and definitely worth it. but the main courses seemed to fall short. the scallops with risotto were a bit too salty and over time felt like a bit of a chore to finish. the sablefish while buttery and flavorful at first became underwhelming. we were celebrating an anniversary not a birthday and it wouldve been a nice touch if they offered a dessert like their neighbor black  blue does for special occasions. no fault of theirs as they are generally quite busy but it wouldve been a small gesture to help make the experience feel warmer and more memorable.

still coast remains a top choice for happy hour in the citybustling with fantastic service.",No Name Mentioned,"['Sablefish', 'Scallops']",Happy Hour,Service,Sablefish,363
3,4,"If you’re looking for a vibrant place to unwind yet receive excellent service, Coast is the place to be. The staff truly works hard to deliver top-notch hospitality, and it shows. They're easily one of the most harmonious and hardworking teams I've seen at a Glowbal chain.

That said, the food didn’t quite live up to the hype. Happy hour options? Coast absolutely nails them every time—tasty, well-priced, and definitely worth it. But the main courses seemed to fall short. The scallops with risotto were a bit too salty and, over time, felt like a bit of a chore to finish. The sablefish, while buttery and flavorful at first, became underwhelming. We were celebrating an anniversary (not a birthday), and it would've been a nice touch if they offered a dessert, like their neighbor Black & Blue does for special occasions. No fault of theirs, as they are generally quite busy, but it would’ve been a small gesture to help make the experience feel warmer and more memorable.

Still, Coast remains a top choice for happy hour in the city—bustling with fantastic service.",10 hours ago,2025-03-11,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,$40–50,4.0,5.0,5.0,[],,,"if youre looking for a vibrant place to unwind yet receive excellent service coast is the place to be. the staff truly works hard to deliver topnotch hospitality and it shows. theyre easily one of the most harmonious and hardworking teams ive seen at a glowbal chain.

that said the food didnt quite live up to the hype. happy hour options coast absolutely nails them every timetasty wellpriced and definitely worth it. but the main courses seemed to fall short. the scallops with risotto were a bit too salty and over time felt like a bit of a chore to finish. the sablefish while buttery and flavorful at first became underwhelming. we were celebrating an anniversary not a birthday and it wouldve been a nice touch if they offered a dessert like their neighbor black  blue does for special occasions. no fault of theirs as they are generally quite busy but it wouldve been a small gesture to help make the experience feel warmer and more memorable.

still coast remains a top choice for happy hour in the citybustling with fantastic service.",No Name Mentioned,"['Sablefish', 'Scallops']",Happy Hour,Food,Sablefish,363
3,4,"If you’re looking for a vibrant place to unwind yet receive excellent service, Coast is the place to be. The staff truly works hard to deliver top-notch hospitality, and it shows. They're easily one of the most harmonious and hardworking teams I've seen at a Glowbal chain.

That said, the food didn’t quite live up to the hype. Happy hour options? Coast absolutely nails them every time—tasty, well-priced, and definitely worth it. But the main courses seemed to fall short. The scallops with risotto were a bit too salty and, over time, felt like a bit of a chore to finish. The sablefish, while buttery and flavorful at first, became underwhelming. We were celebrating an anniversary (not a birthday), and it would've been a nice touch if they offered a dessert, like their neighbor Black & Blue does for special occasions. No fault of theirs, as they are generally quite busy, but it would’ve been a small gesture to help make the experience feel warmer and more memorable.

Still, Coast remains a top choice for happy hour in the city—bustling with fantastic service.",10 hours ago,2025-03-11,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,$40–50,4.0,5.0,5.0,[],,,"if youre looking for a vibrant place to unwind yet receive excellent service coast is the place to be. the staff truly works hard to deliver topnotch hospitality and it shows. theyre easily one of the most harmonious and hardworking teams ive seen at a glowbal chain.

that said the food didnt quite live up to the hype. happy hour options coast absolutely nails them every timetasty wellpriced and definitely worth it. but the main courses seemed to fall short. the scallops with risotto were a bit too salty and over time felt like a bit of a chore to finish. the sablefish while buttery and flavorful at first became underwhelming. we were celebrating an anniversary not a birthday and it wouldve been a nice touch if they offered a dessert like their neighbor black  blue does for special occasions. no fault of theirs as they are generally quite busy but it wouldve been a small gesture to help make the experience feel warmer and more memorable.

still coast remains a top choice for happy hour in the citybustling with fantastic service.",No Name Mentioned,"['Sablefish', 'Scallops']",Happy Hour,Positive,Sablefish,363
3,4,"If you’re looking for a vibrant place to unwind yet receive excellent service, Coast is the place to be. The staff truly works hard to deliver top-notch hospitality, and it shows. They're easily one of the most harmonious and hardworking teams I've seen at a Glowbal chain.

That said, the food didn’t quite live up to the hype. Happy hour options? Coast absolutely nails them every time—tasty, well-priced, and definitely worth it. But the main courses seemed to fall short. The scallops with risotto were a bit too salty and, over time, felt like a bit of a chore to finish. The sablefish, while buttery and flavorful at first, became underwhelming. We were celebrating an anniversary (not a birthday), and it would've been a nice touch if they offered a dessert, like their neighbor Black & Blue does for special occasions. No fault of theirs, as they are generally quite busy, but it would’ve been a small gesture to help make the experience feel warmer and more memorable.

Still, Coast remains a top choice for happy hour in the city—bustling with fantastic service.",10 hours ago,2025-03-11,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,$40–50,4.0,5.0,5.0,[],,,"if youre looking for a vibrant place to unwind yet receive excellent service coast is the place to be. the staff truly works hard to deliver topnotch hospitality and it shows. theyre easily one of the most harmonious and hardworking teams ive seen at a glowbal chain.

that said the food didnt quite live up to the hype. happy hour options coast absolutely nails them every timetasty wellpriced and definitely worth it. but the main courses seemed to fall short. the scallops with risotto were a bit too salty and over time felt like a bit of a chore to finish. the sablefish while buttery and flavorful at first became underwhelming. we were celebrating an anniversary not a birthday and it wouldve been a nice touch if they offered a dessert like their neighbor black  blue does for special occasions. no fault of theirs as they are generally quite busy but it wouldve been a small gesture to help make the experience feel warmer and more memorable.

still coast remains a top choice for happy hour in the citybustling with fantastic service.",No Name Mentioned,"['Sablefish', 'Scallops']",Happy Hour,Service,Scallops,363
3,4,"If you’re looking for a vibrant place to unwind yet receive excellent service, Coast is the place to be. The staff truly works hard to deliver top-notch hospitality, and it shows. They're easily one of the most harmonious and hardworking teams I've seen at a Glowbal chain.

That said, the food didn’t quite live up to the hype. Happy hour options? Coast absolutely nails them every time—tasty, well-priced, and definitely worth it. But the main courses seemed to fall short. The scallops with risotto were a bit too salty and, over time, felt like a bit of a chore to finish. The sablefish, while buttery and flavorful at first, became underwhelming. We were celebrating an anniversary (not a birthday), and it would've been a nice touch if they offered a dessert, like their neighbor Black & Blue does for special occasions. No fault of theirs, as they are generally quite busy, but it would’ve been a small gesture to help make the experience feel warmer and more memorable.

Still, Coast remains a top choice for happy hour in the city—bustling with fantastic service.",10 hours ago,2025-03-11,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,$40–50,4.0,5.0,5.0,[],,,"if youre looking for a vibrant place to unwind yet receive excellent service coast is the place to be. the staff truly works hard to deliver topnotch hospitality and it shows. theyre easily one of the most harmonious and hardworking teams ive seen at a glowbal chain.

that said the food didnt quite live up to the hype. happy hour options coast absolutely nails them every timetasty wellpriced and definitely worth it. but the main courses seemed to fall short. the scallops with risotto were a bit too salty and over time felt like a bit of a chore to finish. the sablefish while buttery and flavorful at first became underwhelming. we were celebrating an anniversary not a birthday and it wouldve been a nice touch if they offered a dessert like their neighbor black  blue does for special occasions. no fault of theirs as they are generally quite busy but it wouldve been a small gesture to help make the experience feel warmer and more memorable.

still coast remains a top choice for happy hour in the citybustling with fantastic service.",No Name Mentioned,"['Sablefish', 'Scallops']",Happy Hour,Food,Scallops,363
