Star Rating,Review Text,Time Since Review,Date Of Review,Time Period,Service type,Meal type,Price per person,Food,Service,Atmosphere,Recommended dishes,Parking space,Parking options,Kid-friendliness
5 stars,"My friend and I had exceptional service from our server Sallie. She knew when to check in on us and when to leave us alone. Despite arriving late she honoured us with a Happy Hour priced drink, and when she found out that my friend’s son got engaged that day she came with glasses of bubbly! We were not big paying clients but she treated us just the same! Thank you Sallie for your exceptional service, I hope to see you again soon.",4 hours ago,2025-02-27,23-Feb-2025 to 01-Mar-2025,,,,5.0,5.0,5.0,,,,
5 stars,"I was at Coast on alberni with my friend last week and the food was phenomenal but even better than the food…Isabel our server was absolutely amazing, great knowledge of the menu, pleasant to talk to and she was always there keeping my hydrated. Isabel needs a raise. She is the main reason I’ll be back and make sure to bring friends.

Thank you for making our experience amazing.",5 hours ago,2025-02-27,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$60–70,5.0,5.0,5.0,Coast,,,
5 stars,"Exceptional Service

My husband. And I recently dined at Coast restaurant and I cannot say enough about the outstanding customer service I received.

Our server, Laura went above and beyond to ensure our experience was perfect. She was attentive, friendly, and incredibly knowledgeable about the menu, offering great recommendations that turned out to be absolutely delicious.

The atmosphere was warm and inviting, and it was clear that the staff genuinely cared about making our evening special.

We definitely be returning and recommending it to everyone I know. Thank you for such a wonderful dining experience!",19 hours ago,2025-02-27,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$100+,5.0,5.0,5.0,,,,
5 stars,Gloria’s the best !,20 hours ago,2025-02-27,23-Feb-2025 to 01-Mar-2025,,,,5.0,5.0,5.0,,,,
5 stars,Our server Josh was lovely !,21 hours ago,2025-02-27,23-Feb-2025 to 01-Mar-2025,Dine in,Other,$20–30,5.0,5.0,5.0,Oysters on the Half Shell and Lemon Drop,,,
5 stars,"Nice & Cozy place to hang out in Downtown area during Happy Hours, Oysters are fresh and tasteful! Other appets. are also recommended especially the Crab Dip and Beef Carpaccio.",a day ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,Dine in,Other,$40–50,5.0,3.0,4.0,,Somewhat difficult to find parking,"Paid street parking, Valet, Paid parking garage",
5 stars,"Dinner for two last Wednesday. Good food and a buzz of conversation in the restaurant made it a lovely night out-one we will repeat.
Thanks are due, firstly to Blaine for taking care of us, and to Mohit for making it all happen. (Don't go to Edinburgh man-stay in Vancouver!)",a day ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$50–60,5.0,5.0,5.0,,,,
5 stars,"Fantastic experience! From the moment we arrived, we were met with amazing hospitality. Our manager Katya went above and beyond to ensure our experience was seamless—she recommended incredible dishes and wines, checked in with us throughout the evening, and made us feel truly valued as guests. Her attention to detail is top notch and we absolutely will be back! Their sablefish is a must try!",a day ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$70–80,5.0,5.0,5.0,Fish,,,
2 stars,"Came here with my family and spent over $300 with tip.  Here’s my experience:

FOOD: appetizers were okay.
MAIN: fish n chips were kinda small for the price
Lobster pasta: small portion and not enough lobster
Steak: was terrible.  Very expensive for low quality meat that was overcooked and chewy.  Way better at THE KEG
SERVICE: was very good
ATMOSPHERE: also good.

OVERALL:  The whole reason was the main dish and we had 3 mains and we can get everything better elsewhere for way less",a day ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,,,,1.0,5.0,4.0,,,,
4 stars,"Attended a work event here, could be different for an independent outing",a day ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,,4.0,4.0,3.0,,,,
5 stars,Dined at coast for happy hour and dinner and had the most amazing time thanks to Sally!! Can’t recommend her service enough she was so sweet and attentive will be back! The oysters and sushi were also really good!,a day ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,,,,4.0,5.0,5.0,,,,
5 stars,"Andrew was amazing! The best server ever

Ask for Andrew for your events",a day ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,,,,5.0,5.0,5.0,,,,
5 stars,Amazing dinner! Jacob took very good care of us.,a day ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$60–70,5.0,5.0,5.0,,,,
5 stars,Andrew took excellent care of us!,2 days ago,2025-02-25,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$60–70,5.0,5.0,5.0,Fish,,,
5 stars,"Came here last week for happy hour, the food was great, especially the crab dip. But was particularly impressed by our server, Peter. He was great! Super warm, attentive and professional. Always there when we needed him. Hope to get served by him again next time I’m in.",2 days ago,2025-02-25,23-Feb-2025 to 01-Mar-2025,Dine in,Lunch,$40–50,5.0,5.0,5.0,,,,
5 stars,"Had a great experience at Coast! We go often, and the food is consistently excellent. What distinguished our experience this time was our waiter, Peter, who was extremely professional in every way. He was very attentive and accommodating while also giving us privacy. He had great suggestions, painted a picture describing the food and, overall, made the experience a wonderful one. The Sunday/Monday set lobster menu is worth a try!",2 days ago,2025-02-25,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,,5.0,5.0,5.0,,,,
5 stars,"An Unforgettable Dining Experience at Coast Vancouver! Saturday Feb 22/2025.

My husband and I had an absolutely exceptional date night at Coast on Saturday, February 22, before heading to the symphony. From the moment we arrived, we were treated like royalty! Katya, the amazing sommelier, ensured we had the best seat in the house and took the time to educate me on the incredible wine selections, food suggestions and making the evening even more special. Also being greeted with a delicious glass of cold, Prosecco was the perfect starter to a fabulous meal.

Our server, Caili, was outstanding—attentive, knowledgeable, funny and genuinely warm. The service was seamless, making us feel both valued and pampered.
We were attending the Vancouver Metropolitan Orchestra evening so we had to have dinner early. We didn’t realize we came in on happy hour and absolutely enjoyed the variety of delicious appetizers.

And the food? Absolutely divine! Every dish was crafted to perfection, showcasing the incredible skill and passion of the chefs. Kudos to them for creating such memorable food!

A special thank you to the general manager, who engaged with us and made sure everything was beyond perfect. The combination of incredible service, exquisite food, and a welcoming atmosphere made this one of the best dining experiences we've ever had. Katya and Caili truly exemplify excellence in hospitality, and we can't wait to return!

Highly recommend Coast for an unforgettable dining experience!",3 days ago,2025-02-24,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$50–60,5.0,5.0,5.0,"Sushi, Carpaccio, Hamachi",,,
5 stars,"Omg one of the best dining experiences I had so far, I would say the service and the servers were much better than the food because we had such a fun interaction, especially with Isabel and Ben and the manager Lindsay, she was a diva! Loved every interaction with her, she is very hospitable and experienced! Loved the experience and loved every interaction, kudos to Ben and Isabel for their wonderful service.",3 days ago,2025-02-24,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$100+,5.0,5.0,3.0,"Coast, Calamari",,,
5 stars,"Great experience and food! Ben W was amazing and very personable, would definitely go back!",3 days ago,2025-02-24,23-Feb-2025 to 01-Mar-2025,,,$100+,5.0,5.0,5.0,,,,
5 stars,Our server Ben.W was amazing. Great service and we had a great time would definitely come back and find him again!,3 days ago,2025-02-24,23-Feb-2025 to 01-Mar-2025,Dine in,Lunch,$30–40,,5.0,,Cake,Somewhat difficult to find parking,Paid parking lot,
5 stars,"Ben W was great, good banter",3 days ago,2025-02-24,23-Feb-2025 to 01-Mar-2025,Dine in,Lunch,$50–60,5.0,5.0,5.0,,,,
5 stars,Benw made sure my friend and I had a good time and great service,3 days ago,2025-02-24,23-Feb-2025 to 01-Mar-2025,,,$40–50,5.0,5.0,5.0,,,,
5 stars,No review text,4 days ago,2025-02-23,23-Feb-2025 to 01-Mar-2025,,,,5.0,5.0,5.0,,,,
5 stars,Peter is an amazing server. He is attentive and knows the menu backwards and forwards. I will definitely return.,4 days ago,2025-02-23,23-Feb-2025 to 01-Mar-2025,,Dinner,$100+,5.0,5.0,5.0,"Calamari, Coconut",,,
5 stars,Great food and great service from Peter. Drinks were also amazing.,4 days ago,2025-02-23,23-Feb-2025 to 01-Mar-2025,,,,5.0,5.0,5.0,,,,
5 stars,Caili was the best server I have ever had. She went above and beyond and made our experience amazing. We will definitely be back to see caili!,4 days ago,2025-02-23,23-Feb-2025 to 01-Mar-2025,Dine in,Lunch,$40–50,5.0,5.0,5.0,Oysters on the Half Shell and Lemon Drop,,,
5 stars,Food was great. Had amazing options for happy hour at a reasonable price. Andrew was an awesome server for our big group!,4 days ago,2025-02-23,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,,5.0,5.0,5.0,,,,
5 stars,We had a fantastic dining experience at Coast thanks to our amazing waiter Stephen!,4 days ago,2025-02-23,23-Feb-2025 to 01-Mar-2025,Dine in,Other,$30–40,5.0,5.0,5.0,"Oysters on the Half Shell and Lemon Drop, Calamari",,,
5 stars,Our server was so charming and has such a great sense of humor. She was really quick with everything and she would really accommodate anything that we asked. We had such a lovely night. It was great because it was my birthday!,4 days ago,2025-02-22,16-Feb-2025 to 22-Feb-2025,,,,5.0,5.0,5.0,,,,
5 stars,Delicious dinner. Andrew was amazing! Attentive. Made great suggestions!,4 days ago,2025-02-22,16-Feb-2025 to 22-Feb-2025,,,,5.0,5.0,5.0,,,,
5 stars,Laura was fantastic.  Had a nice apres work.,4 days ago,2025-02-22,16-Feb-2025 to 22-Feb-2025,,,,5.0,5.0,5.0,,,,
5 stars,"I dined at Coast with a friend a few nights ago and had an exceptional experience. Our server, Peter, was outstanding—knowledgeable, polite, and attentive. The food was incredible, but for me, great service truly elevates the experience. I’ll definitely be back and will be requesting Peter!",4 days ago,2025-02-22,16-Feb-2025 to 22-Feb-2025,,,,5.0,5.0,5.0,,,,
5 stars,"I had amazing time with my friend yesterday in Coast restaurant. My Lemon drop martini was delicious and food was great too. We really enjoyed our lunch and happy hour menu! Especially, thank you so much for the service! Our server Peter  was very attentive and his warm service made us feel very welcome and comfortable. We will definitely come back soon!!",5 days ago,2025-02-21,16-Feb-2025 to 22-Feb-2025,,,,5.0,5.0,5.0,,,,
5 stars,"Food was superb, Isabel was very attentive and informative. Splendid experience!",5 days ago,2025-02-21,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$20–30,5.0,5.0,5.0,"Warm Banana & Coconut Butter Cake & Creme Brulee, Sushi, Fish and Chips",,,
5 stars,Laura was great!,5 days ago,2025-02-21,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$100+,5.0,5.0,5.0,"Warm Banana & Coconut Butter Cake & Creme Brulee, Cake",,,
5 stars,"Caili was an amazing, very delightful and bright person who made our night remarkable. Thank you for what you do!! Also mussels were plump and huge, one of the best kinds i’ve ever tasted, and the mushroom flatbread (especially the dough) was to die for.",5 days ago,2025-02-21,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,,5.0,5.0,5.0,,,,
5 stars,"The food was amazing, east coast oysters were definitely on point. This place has an excellent Happy Hour. Our waitress, Caili, was absolutely fabulous! Thank you for a great night; we definitely will be back!",5 days ago,2025-02-21,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$100+,5.0,5.0,5.0,"Oysters on the Half Shell and Lemon Drop, Sushi",,,
5 stars,"If you go to this restaurant and get seated in Isabel’s section just know you are going to have one of the best dining experiences of your life! Aside from the food being absolutely delicious all of Isabel’s suggestions were spot on, she was professional, kind, and friendly. There have been few times where I’ve walked away from a dining experience with no complaints or things I wish were different, however thanks to Isabel and the rest of the staff is way amazing! Definitely recommend getting the muscles!",5 days ago,2025-02-21,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$100+,5.0,5.0,5.0,"Mussels and Clams, Coast, Calamari",,,
5 stars,Dining at Coast was an amazing experience and I would highly recommend dinning there. The food was incredible and the service staff were so friendly and kind. Our server Isabel was very considerate and made sure we had incredible experience.,5 days ago,2025-02-21,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$80–90,5.0,5.0,5.0,"Mussels and Clams, Coast, Calamari",,,
5 stars,"We LOVED our experience here! Sam took great care of us, and we will definitely be back! You cannot beat the $1.50 happy hour oysters, but the rest of the food is equally exceptional!",5 days ago,2025-02-21,16-Feb-2025 to 22-Feb-2025,,Lunch,$100+,5.0,5.0,5.0,"Crab Dip, Oysters on the Half Shell and Lemon Drop, Coast",,,
5 stars,"Aimée was a wonderful server, she was very knowledgeable with wine pairings and very friendly, she made our experience wonderful.  Food was also superb.",5 days ago,2025-02-21,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$70–80,5.0,5.0,5.0,"Warm Banana & Coconut Butter Cake & Creme Brulee, Coast",,,
5 stars,Ben W.,5 days ago,2025-02-21,16-Feb-2025 to 22-Feb-2025,,Lunch,,5.0,5.0,5.0,,,,
5 stars,Paulo was amazing,5 days ago,2025-02-21,16-Feb-2025 to 22-Feb-2025,Dine in,Other,$100+,5.0,5.0,5.0,"Coast, Seafood Tower, Sushi",,,
5 stars,"Came on recommendation for the happy hour, and was not disappointed! Oysters were fresh and the other dishes were also tasty! The wagyu carpaccio came with very delicious toast. Our server, Laura, was super sweet and very accommodating! Even physically moved our table to make us more comfortable :) Will look to come back again on my next trip 👍",a day ago,2025-02-20,16-Feb-2025 to 22-Feb-2025,Dine in,Other,$90–100,4.0,5.0,5.0,,,,
5 stars,"Great meal, love the fish and seafood! Excellent service too",2 days ago,2025-02-19,16-Feb-2025 to 22-Feb-2025,,,,5.0,5.0,5.0,,,,
5 stars,Stephen was awesome!! Great service - thanks you Stephen!,2 days ago,2025-02-19,16-Feb-2025 to 22-Feb-2025,,,,5.0,5.0,5.0,,,,
5 stars,"I was here a week ago for dine out Vancouver with my friend, and we had a really great experience! We had a great time, the menu was delicious, all the wines from the wine paring were well matched to each dish. Our server Andrea was very attentive and professional, so I was very surprised when he mentioned that it was his first day on the job! Overall, I recommend it!",2 days ago,2025-02-19,16-Feb-2025 to 22-Feb-2025,,,,5.0,5.0,5.0,,,,
5 stars,Stephen was a great server. Enjoyed happy hour!,2 days ago,2025-02-19,16-Feb-2025 to 22-Feb-2025,,,,5.0,5.0,5.0,,,,
5 stars,"The atmosphere set the tone of our evening.  The hostess was very polite and friendly.  We were seated immediately with our reservation.  We were then greeted by Lindsey who was very polite and professional.  She was a joy to speak too.  Then our main man Peter came over and he was also great.  He had great recommendations and was a pleasure to speak with.  He was funny and made us feel comfortable.  WHEN not IF, we go back we will ask to be put in Peter’s section.  Overall it was an amazing  evening. Thank u to Peter Lindsey the manager and hostess.

Chris & Cara",2 days ago,2025-02-19,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$100+,5.0,5.0,5.0,"New England Clam Chowder, Warm Banana & Coconut Butter Cake & Creme Brulee, 1lb Lobster West Coast Dinner Main, Coast",,,
5 stars,Food was amazing and the atmosphere was great. Andrew was super fun and gave great recommendations!!,2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$60–70,5.0,5.0,5.0,Sushi,,,
5 stars,Gloria was amazing! Great service 💗,2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$90–100,5.0,5.0,5.0,"Mussels and Clams, Coast",Difficult to find parking,Paid street parking,
5 stars,Gloria was fabulous 👌,2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$100+,5.0,5.0,5.0,,,,
5 stars,"Always come here for Happy Hour, and the lobster and prawn roll was delicious + Gloria was amazing and very attentive!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$20–30,5.0,5.0,5.0,"Wagyu Beef Carpaccio, Calamari",,,
5 stars,"Always a great time for HH, lunch and dinner! Server Gloria was very helpful, impeccable service!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Lunch,$20–30,5.0,5.0,5.0,"Calamari, Carpaccio",,,
5 stars,"We always come here for happy hour, great prices and drinks. Our server, Stephen, has been very pleasant on our last visit as well!",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,Other,$40–50,5.0,5.0,4.0,"Crab Dip, Oysters on the Half Shell and Lemon Drop",,,
4 stars,"Had a lovely time at the coast. We really liked out calamari and Gloria was an absolute delight to have as a server, she was quick to anticipate our needs and was always present when we needed her",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,,,4.0,5.0,5.0,Calamari,,,
5 stars,"It was our first time at Coast, we’re there for the happy hour. All I can say is that the staff are phenomenal! Ben W. was our server, he made sure to check on us very often. The food was great especially the mussels, they are big! We ordered two bowls, we can’t get enough . My margarita was a bit too sour for me though. All in all, great value for money.",2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,,,$50–60,4.0,5.0,5.0,,,,
5 stars,Laura was a great server. We enjoyed the dining experience!,2 days ago,2025-02-18,16-Feb-2025 to 22-Feb-2025,Dine in,Dinner,$100+,5.0,5.0,5.0,"Oysters on the Half Shell and Lemon Drop, Coast",,,
